,account_value,date,daily_return,datadate
300,2311902.29302,2024-06-13,-0.021671335837915,2024-06-13
301,2286873.0330199995,2024-06-14,-0.010826262024813,2024-06-14
302,2302984.84302,2024-06-17,0.007045345223527,2024-06-17
303,2257955.71302,2024-06-18,-0.0195525081880049,2024-06-18
304,2247234.2530199997,2024-06-20,-0.0047483039362452,2024-06-20
305,2222837.10302,2024-06-21,-0.0108565228423397,2024-06-21
306,2092008.6730200003,2024-06-24,-0.0588565081184999,2024-06-24
307,2143410.59302,2024-06-25,0.0245706055920869,2024-06-25
308,2110195.25302,2024-06-26,-0.0154964896171388,2024-06-26
309,2137746.54302,2024-06-27,0.0130562752240912,2024-06-27
310,2093302.91302,2024-06-28,-0.0207899435717082,2024-06-28
311,2178482.38302,2024-07-01,0.0406914209454338,2024-07-01
312,2151818.59302,2024-07-02,-0.0122396169956795,2024-07-02
313,2087357.67302,2024-07-03,-0.0299564843472847,2024-07-03
314,1968259.1430200003,2024-07-05,-0.0570570782091635,2024-07-05
315,1970428.75302,2024-07-08,,2024-07-08
316,1968351.7040500003,2024-07-09,-0.0010541101609568,2024-07-09
317,1957129.4288500005,2024-07-10,-0.0057013567122731,2024-07-10
318,1956172.7465800005,2024-07-11,-0.000488819112266,2024-07-11
319,1973166.6093600008,2024-07-12,0.0086873016760462,2024-07-12
320,1971864.6695800005,2024-07-15,-0.0006598225278211,2024-07-15
321,1980940.382920001,2024-07-16,0.0046026045701876,2024-07-16
322,1952575.8789200007,2024-07-17,-0.0143187065317884,2024-07-17
323,1948393.130810001,2024-07-18,-0.0021421693032044,2024-07-18
324,1944307.569820001,2024-07-19,-0.0020968873916638,2024-07-19
325,1965440.1614000013,2024-07-22,0.0108689550501295,2024-07-22
326,1963818.1923000016,2024-07-23,-0.0008252447120263,2024-07-23
327,1959494.6298800013,2024-07-24,-0.00220161033081,2024-07-24
328,1958249.8570400015,2024-07-25,-0.000635251978249,2024-07-25
329,2011334.7547100016,2024-07-26,0.0271083373141365,2024-07-26
330,1984676.945060001,2024-07-29,-0.0132537905923293,2024-07-29
331,1984676.050960001,2024-07-30,-4.505015298583715e-07,2024-07-30
332,1953511.627040001,2024-07-31,-0.0157025243010945,2024-07-31
