,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
10,2020-01-16,vwo,45.62,45.66,45.48,45.63,14620361.0,3.0,0.598790164661338,45.89770928860785,43.863290711392146,63.20834639948098,111.54594021851362,41.57798183511893,44.303999999999995,43.30283333333333,12.319999694824219,2.6400633644308202
11,2020-01-17,agg,113.05,113.096,112.97,113.02,3003267.0,4.0,0.13220628495515996,113.33126267637373,112.12173732362625,53.525321259188836,119.92258482421396,9.215671242904893,112.67999999999999,112.63550000000001,12.100000381469727,4.076872590571233
11,2020-01-17,bil,91.5,91.51,91.5,91.51,1323163.0,4.0,0.004698170457260176,91.52608988471894,91.39191011528106,51.77665981393847,99.27579963787204,24.11359382024787,91.468,91.49216666666666,12.100000381469727,4.076872590571233
11,2020-01-17,gld,146.58,146.99,146.31,146.51,11121140.0,4.0,1.8106881869684344,149.89355951675222,138.7334404832478,62.06901717291843,88.16604758051838,39.05115426585867,142.397,140.79000000000002,12.100000381469727,4.076872590571233
11,2020-01-17,spy,331.95,332.18,330.8539,331.7,95846017.0,4.0,3.7718459396744493,331.2587154788995,317.71528452110044,70.2101656928199,176.34383316362008,54.97000453658849,321.719,315.0965,12.100000381469727,4.076872590571233
11,2020-01-17,vb,169.41,170.5,169.18,170.31,890825.0,4.0,1.4193538302623097,169.0410989804493,163.85590101955074,65.1705960042537,213.54159958334833,47.02941360277582,165.4586666666667,162.61783333333332,12.100000381469727,4.076872590571233
11,2020-01-17,vnq,94.72,95.03,94.52,94.58,3581348.0,4.0,0.5599873310275711,94.52084296558924,90.14515703441076,57.82679250787177,213.46087895620627,28.317382606516183,92.04766666666666,92.42983333333333,12.100000381469727,4.076872590571233
11,2020-01-17,vo,183.55,183.71,183.23,183.67,740580.0,4.0,1.8846347148588052,182.9060262485146,175.6569737514854,69.29743782876821,210.75599174538257,58.01397053314703,177.95833333333334,174.99616666666668,12.100000381469727,4.076872590571233
11,2020-01-17,vwo,45.91,45.91,45.66,45.76,13094777.0,4.0,0.6139880206938528,46.05237563428414,43.83662436571587,64.53316990983728,130.91032211687087,45.63267106959262,44.425333333333334,43.3735,12.100000381469727,4.076872590571233
12,2020-01-21,agg,113.37,113.41,113.22,113.25,4672152.0,1.0,0.1576011189737585,113.41448279807297,112.14551720192706,56.351867293699904,186.86592117152568,22.609816034349464,112.703,112.64583333333333,12.850000381469727,16.41451981148379
12,2020-01-21,bil,91.51,91.51,91.5,91.51,3170786.0,1.0,0.006762326578751754,91.52380092285978,91.39319907714022,52.964841166912564,100.02882675118616,24.113593820247868,91.46933333333332,91.4915,12.850000381469727,16.41451981148379
12,2020-01-21,gld,146.74,146.86,145.551,145.77,6086149.0,1.0,1.7641318454355712,149.84699391330525,139.51600608669474,62.37532896706979,77.56029389565337,28.651872554189247,142.655,140.89350000000002,12.850000381469727,16.41451981148379
12,2020-01-21,spy,331.3,332.18,330.82,330.9,77742415.0,1.0,3.842177218094264,332.2028909327924,317.8111090672076,69.05186581622779,160.95353818251775,54.63243623133488,322.3616666666667,315.62016666666665,12.850000381469727,16.41451981148379
12,2020-01-21,vb,168.53,169.115,168.27,168.57,542259.0,1.0,1.418395119421433,169.31819860035634,163.83880139964364,62.554612798192665,153.233798089991,33.41880184692227,165.68133333333333,162.8363333333333,12.850000381469727,16.41451981148379
12,2020-01-21,vnq,95.62,95.69,94.59,94.84,4217381.0,1.0,0.7190571981723792,95.11148309222446,90.00951690777555,60.17847054092902,219.52919684696593,34.83317677179542,92.14566666666668,92.43716666666666,12.850000381469727,16.41451981148379
